cashOut|1|1|mark|33020.608|-3144.6|29876.008
cashIn|1|1|george|45132.028|1874.21|47006.238
cashOut|1|1|mark|29876.008|-539.37|29336.638
cashIn|1|1|mark|29336.638|3994.59|33331.228
transfer|1|1|monica|30638.913|-1552.48|29086.433
cashIn|1|1|john|18902.618|1435.17|20337.788
transfer|1|1|john|20337.788|-253.42|20084.368
cashIn|1|1|monica|29086.433|1176.39|30262.823
cashOut|1|1|jessy|21249.057|-1887.78|19361.277
cashIn|1|1|george|47006.238|108.88|47115.118
cashOut|1|1|john|20084.368|-1630.55|18453.818
transfer|1|1|mark|33331.228|-465.96|32865.268
transfer|1|1|jessy|19361.277|-857.4|18503.877
transfer|1|1|jessy|18503.877|-1643.52|16860.357
cashIn|1|1|john|18453.818|2222.98|20676.798
cashIn|1|1|george|47115.118|4203.43|51318.548
transfer|1|1|john|20676.798|-228.49|20448.308
payment|1|1|jessy|16860.357|-1621.95|15238.407
cashOut|1|1|george|51318.548|-4767.85|46550.698
payment|1|1|george|46550.698|-2336.47|44214.228
payment|2|2|john|20448.308|-1345.44|19102.868
payment|2|2|monica|30262.823|-1778.55|28484.273
transfer|2|2|jessy|15238.407|-1060.78|14177.627
cashIn|2|2|jessy|14177.627|2187.2|16364.827
transfer|2|2|george|44214.228|-3709.37|40504.858
cashOut|2|2|john|19102.868|-511.28|18591.588
payment|2|2|monica|28484.273|-842.87|27641.403
cashIn|2|2|jessy|16364.827|2397.42|18762.247
transfer|2|2|mark|32865.268|-733.42|32131.848
cashIn|2|2|monica|27641.403|272.81|27914.213
cashIn|2|2|monica|27914.213|3367.89|31282.103
cashOut|2|2|george|40504.858|-1388.33|39116.528
cashIn|2|2|john|18591.588|4884.26|23475.848
cashIn|2|2|john|23475.848|4823.43|28299.278
cashIn|2|2|mark|32131.848|1403.24|33535.088
payment|2|2|monica|31282.103|-1152.2|30129.903
cashOut|2|2|george|39116.528|-627.81|38488.718
cashIn|2|2|george|38488.718|957.3|39446.018
cashIn|2|2|monica|30129.903|1330.5|31460.403
cashIn|2|2|monica|31460.403|1089.89|32550.293
cashOut|3|3|mark|33535.088|-1539.2|31995.888
cashIn|3|3|john|28299.278|3894.4|32193.678
payment|3|3|monica|32550.293|-1495.72|31054.573
cashIn|3|3|mark|31995.888|4165.36|36161.248
cashOut|3|3|john|32193.678|-471.8|31721.878
cashOut|3|3|john|31721.878|-1661.57|30060.308
transfer|3|3|mark|36161.248|-1164.95|34996.298
cashOut|3|3|monica|31054.573|-245.01|30809.563
payment|3|3|jessy|18762.247|-1667.3|17094.947
cashIn|3|3|jessy|17094.947|2488.48|19583.427
cashOut|3|3|george|39446.018|-1844.49|37601.528
payment|3|3|monica|30809.563|-2269.2|28540.363
cashIn|3|3|john|30060.308|2390.39|32450.698
payment|3|3|george|37601.528|-2318.76|35282.768
cashIn|3|3|monica|28540.363|1306.78|29847.143
cashIn|3|3|john|32450.698|4060.06|36510.758
cashOut|3|3|jessy|19583.427|-1063.13|18520.297
payment|3|3|john|36510.758|-1759.94|34750.818
transfer|3|3|george|35282.768|-863.93|34418.838
cashIn|3|3|jessy|18520.297|1750.4|20270.697
cashIn|4|4|monica|29847.143|4932.91|34780.053
transfer|4|4|john|34750.818|-2769.24|31981.578
cashOut|4|4|monica|34780.053|-2468.66|32311.393
payment|4|4|george|34418.838|-3023.0|31395.838
cashOut|4|4|jessy|20270.697|-460.49|19810.207
cashOut|4|4|george|31395.838|-1475.8|29920.038
cashIn|4|4|mark|34996.298|2562.63|37558.928
payment|4|4|mark|37558.928|-2604.7|34954.228
cashOut|4|4|john|31981.578|-3138.76|28842.818
payment|4|4|monica|32311.393|-592.46|31718.933
cashIn|4|4|jessy|19810.207|3038.48|22848.687
cashIn|4|4|mark|34954.228|4466.49|39420.718
payment|4|4|jessy|22848.687|-2275.08|20573.607
cashIn|4|4|john|28842.818|1290.05|30132.868
transfer|4|4|mark|39420.718|-2842.18|36578.538
transfer|4|4|mark|36578.538|-3619.91|32958.628
cashIn|4|4|george|29920.038|3135.68|33055.718
